length,coverage500m,directness,poirailway_coverage500m,components
18.682207769898866,11.270440910335124,0.7724335533905812,21,4
32.98438246307054,17.61714183320418,0.6382672976464258,31,2
47.24945085325379,23.740426191034928,0.6769714548394831,37,1
64.38574798619999,29.619864688885595,0.724279757945281,45,1
82.8944519231212,34.458001421584335,0.7442511544726133,50,1
107.05186262524396,43.043679039778944,0.7477116358040843,60,2
115.62867823339936,45.829774383016115,0.7483155009132528,65,1
136.19931455456938,51.30272484120445,0.735350551545197,68,1
152.22105145135438,56.601590150927095,0.7442932251316502,71,1
167.63712325723662,58.33316493427552,0.7451357765541772,74,1
183.5908701661447,61.76749148789842,0.7461054554251162,75,1
193.06303260708836,62.34930079857168,0.7453444903782904,75,1
201.45213646664286,63.27062936925634,0.7537568102298409,75,1
208.09174161371038,63.64083324539564,0.7540781644415163,75,1
218.65795880927416,64.46856069226375,0.755313968316707,75,1
226.35286139784216,65.39381092771877,0.7542790750471267,75,1
248.02277927434014,72.16538629233199,0.7507366735116696,75,1
256.58398708973056,73.03410050966795,0.750622375722826,75,1
264.4867063054663,73.69750646653114,0.753395008816453,75,1
264.4867063054663,73.69750646653114,0.7451108800286609,75,1
