length,length_lcc,coverage,directness,directness_lcc,poi_coverage,components
1602.812021890127,1594.530576160092,119.6177162000123,0.8162782991634413,0.8172321271584987,76,37
1594.4666257865476,1585.3903818384122,119.61771620092539,0.7943647287988677,0.7919093675064122,76,41
1585.8705043116745,1575.06632946688,119.56594032042005,0.7758104426933988,0.7859844171201338,76,48
1577.6390429626354,1564.2463742540012,119.54815014174056,0.7562456064611747,0.7658048672910805,76,51
1571.8046498294382,1558.197530419703,119.54815014404794,0.7404295470193114,0.7451023243879328,76,53
1561.0983455919957,1545.5379871479586,119.54815014688123,0.7530417818507168,0.7245994700789765,76,64
1554.9271992053186,1537.641843246682,119.5481501466734,0.7277192103743939,0.7314947031374582,76,67
1544.211376790816,1525.975373477228,119.54815014701532,0.7198407452178459,0.7121012869030916,76,73
1538.3048637460204,1519.1364605164908,119.54815014674442,0.7201312051259239,0.7150347300141133,76,79
1531.8064534032178,1512.6380501736883,119.54815014848838,0.7088697109278465,0.6951424650798008,76,79
1518.1496687485244,1493.0996317046806,119.54788487025242,0.6960712433364996,0.7127065314989401,76,89
1509.0546561718725,1470.1459494707635,119.54788487330997,0.7000980605304366,0.6965772331449863,76,103
1504.4493272819798,1464.7226909064739,119.5478848733659,0.6880128103515067,0.7006360755731433,76,107
1489.041411157708,1417.5238104884193,119.54788487540598,0.6849508854367787,0.6957237694476832,76,116
1486.5789355441416,1414.3788128856418,119.54788487570266,0.7012020707442422,0.6962456969754308,76,126
1476.2830910206287,1399.4450686547161,119.54788487691162,0.6721877543620022,0.6425078368869723,76,139
1469.241559925632,1388.2699613517714,119.54788487734668,0.6555342795569414,0.6622029371129559,76,151
1466.3895793949762,1382.2856519735212,119.54788487669296,0.6400894626961484,0.6373894595184468,76,160
1459.452111473963,1373.2996247843778,119.54788487689609,0.6436558187273673,0.6475984662756347,76,164
1454.3854670372666,1368.238074591572,119.54788487697844,0.6385706783877528,0.6352357138258469,76,170
1442.4929877953462,1351.5092906822094,119.54788237213909,0.5683441018426085,0.5799466470627238,76,180
1438.8991024802458,1345.6778080813917,119.547882369162,0.5774522758149857,0.5638343698122414,76,182
1434.677420762247,1340.5818880207028,119.5478823665654,0.5562073860044026,0.5546114289959746,76,184
1428.6281890315777,1332.7584239762316,119.54788236781978,0.5717678039213434,0.567557179433799,76,195
1422.4290916491307,1324.5648030061143,119.54788236563468,0.5285214504511794,0.5393494493228612,76,200
1419.4325745243686,1318.6444059977753,119.5478823675089,0.5375905544033898,0.5256565346507229,76,201
1417.4347555847612,1314.9991607828592,119.54788236661298,0.5164425855478347,0.5279004634523303,76,204
1415.2270623281238,1309.4277257450506,119.54788236711678,0.5340417475612583,0.5326039831700361,76,208
1403.1935997733415,1279.6202823199417,119.54788235423891,0.5225023987230698,0.522887790202494,76,218
1396.5923990790461,1270.4069976723335,119.5476976161018,0.5045981614816606,0.5223549837844673,76,225
1391.0407120478183,1263.8814680504456,119.54769761557475,0.5106936030117365,0.5131073571723347,76,232
1381.6855086655028,1229.4867491401249,119.32747782262483,0.470013968791062,0.46182153256703484,76,238
1379.722709679364,1225.3071768640282,119.32747782276081,0.4625684484871027,0.45336073661583326,76,242
1360.3478724013771,1124.9001086122166,119.3257809445974,0.5070615500313215,0.5003701535684201,76,261
1358.7533233075808,1122.0539503542916,119.32578094471184,0.5119501945334589,0.5035790207177058,76,264
1353.3821377993381,939.657844427648,119.32578094195445,0.4956051045341148,0.48926795576602344,76,275
1348.2871553507596,939.4554571561326,119.32578094496746,0.49251530307965635,0.4898522782945573,76,286
1338.8133980655653,912.5920792047015,119.32575974531122,0.5012706745311242,0.5031791884393669,76,294
1338.8133980655653,912.5920792047015,119.32575974531122,0.5005335110762649,0.5049206621121228,76,294
1338.8133980655653,912.5920792047015,119.32575974531122,0.4857256523830179,0.48982793945360753,76,294
